dataset,mert_layer,saved_layer_index,fold,num_train,num_validation,num_test,train_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_macro_f1,validation_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1
western,7,7,1,596,190,213,0.9983221476510067,0.9981308411214954,0.9983221476510067,0.6578947368421053,0.6387618821037009,0.6141885797584427,0.7183098591549296,0.6911693263163852,0.6859137435377644
western,7,7,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.8770949720670391,0.7597264928319732,0.8834408493555123,0.7789473684210526,0.7371207734791446,0.776600917505548
western,7,7,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.7373271889400922,0.7637090844847615,0.7445738346688217,0.8603351955307262,0.7425456063771378,0.8692389545110577
western,7,7,4,582,200,217,1.0,1.0,1.0,0.835,0.7087004003582721,0.8351952960600861,0.7603686635944701,0.7933947025628905,0.7698178207546384
western,7,7,5,586,213,200,1.0,1.0,1.0,0.7136150234741784,0.7174865209752094,0.7108740358584709,0.805,0.6610540653846942,0.8053926746005854
western,8,8,1,596,190,213,0.9983221476510067,0.9981308411214954,0.9983221476510067,0.6578947368421053,0.6263554271949807,0.6220982090644677,0.7276995305164319,0.6818136451729647,0.6921501806692943
western,8,8,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.8268156424581006,0.7198177530880006,0.8366942160722931,0.7315789473684211,0.6773577255169376,0.7388451829965287
western,8,8,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.7096774193548387,0.7191229064637963,0.7134335446144112,0.8324022346368715,0.7205596560789915,0.8465959595993338
western,8,8,4,582,200,217,1.0,1.0,1.0,0.82,0.6888559978495346,0.815499079111841,0.7327188940092166,0.7543115647212429,0.7384535718589247
western,8,8,5,586,213,200,1.0,1.0,1.0,0.6854460093896714,0.6935237069073936,0.6790038971087481,0.8,0.6510561931148154,0.7991490484112858
western,9,9,1,596,190,213,0.9983221476510067,0.9981308411214954,0.9983221476510067,0.6473684210526316,0.6200159859046666,0.6246296946522337,0.7417840375586855,0.6892549977092706,0.7107963880791552
western,9,9,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.8212290502793296,0.7137518901497242,0.8282283460232103,0.7263157894736842,0.6861465323695365,0.7248555293735943
western,9,9,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.6912442396313364,0.6879957594285493,0.6939067125339455,0.8212290502793296,0.709266081871345,0.8344115292887713
western,9,9,4,582,200,217,1.0,1.0,1.0,0.845,0.7917646363201336,0.8386313389282968,0.7373271889400922,0.7514642686564557,0.745200926201635
western,9,9,5,586,213,200,1.0,1.0,1.0,0.6338028169014085,0.6534901312616973,0.6411430636617389,0.805,0.6708927686530901,0.810599929737749
western,10,10,1,596,190,213,0.9983221476510067,0.9981308411214954,0.9983221476510067,0.6578947368421053,0.6577114776709084,0.6359600135192569,0.6901408450704225,0.6550776931874642,0.6674311312825907
western,10,10,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.8156424581005587,0.6985402009595558,0.8245366895574139,0.7052631578947368,0.6586080178491438,0.7059401141279644
western,10,10,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.6497695852534562,0.6483123403559921,0.6553633166323626,0.7932960893854749,0.6811183941923196,0.8074346328648428
western,10,10,4,582,200,217,1.0,1.0,1.0,0.83,0.7664565468322294,0.8182474475342506,0.6912442396313364,0.6837234031095417,0.7025180993817213
western,10,10,5,586,213,200,1.0,1.0,1.0,0.6244131455399061,0.6575735409549364,0.6319943392652382,0.785,0.6548317665244773,0.7942376156441989
western,11,11,1,596,190,213,0.9983221476510067,0.9981308411214954,0.9983221476510067,0.5947368421052631,0.5735854115367423,0.5482349842591189,0.6384976525821596,0.6051918158567775,0.6091441897572801
western,11,11,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.770949720670391,0.6574167996888896,0.7825496404598005,0.6263157894736842,0.5931525493770076,0.6127337267316899
western,11,11,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.5852534562211982,0.5994800254844714,0.5870922089083878,0.7932960893854749,0.6825949188584994,0.8078517386951637
western,11,11,4,582,200,217,1.0,1.0,1.0,0.78,0.7240311915838976,0.7748617011341917,0.6497695852534562,0.6559993725463473,0.6573309120297635
western,11,11,5,586,213,200,1.0,1.0,1.0,0.6244131455399061,0.6416272775746459,0.63670817612997,0.75,0.6231166724899463,0.7634615130522967
western,12,12,1,596,190,213,0.9983221476510067,0.9981308411214954,0.9983221476510067,0.6157894736842106,0.6264540103780554,0.5795227512344081,0.6056338028169014,0.5887284533843056,0.5817989820403104
western,12,12,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.7262569832402235,0.6218560016330018,0.7417994013941647,0.6263157894736842,0.6174687801407247,0.6143468869828931
