eastern_genre,num_tracks,count_blues,count_classical,count_country,count_disco,count_hiphop,count_jazz,count_metal,count_pop,count_reggae,count_rock,proportion_blues,proportion_classical,proportion_country,proportion_disco,proportion_hiphop,proportion_jazz,proportion_metal,proportion_pop,proportion_reggae,proportion_rock
carnatic,458,21,26,43,0,160,98,0,95,1,14,0.04585152838427948,0.056768558951965066,0.09388646288209607,0.0,0.34934497816593885,0.21397379912663755,0.0,0.2074235807860262,0.002183406113537118,0.03056768558951965
cpop,100,0,0,13,0,0,0,0,82,0,5,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.82,0.0,0.05
enka,117,3,16,17,1,2,19,0,57,1,1,0.02564102564102564,0.13675213675213677,0.1452991452991453,0.008547008547008548,0.017094017094017096,0.1623931623931624,0.0,0.48717948717948717,0.008547008547008548,0.008547008547008548
guqinguzheng,434,5,298,29,1,1,7,0,77,4,12,0.01152073732718894,0.6866359447004609,0.06682027649769585,0.002304147465437788,0.002304147465437788,0.016129032258064516,0.0,0.1774193548387097,0.009216589861751152,0.027649769585253458
jingju,390,3,329,3,0,7,3,0,40,2,3,0.007692307692307693,0.8435897435897436,0.007692307692307693,0.0,0.017948717948717947,0.007692307692307693,0.0,0.10256410256410256,0.005128205128205128,0.007692307692307693
jpop,204,0,9,19,35,3,0,3,110,1,24,0.0,0.04411764705882353,0.09313725490196079,0.1715686274509804,0.014705882352941176,0.0,0.014705882352941176,0.5392156862745098,0.004901960784313725,0.11764705882352941
kpop,298,0,17,1,6,8,0,0,261,0,5,0.0,0.05704697986577181,0.003355704697986577,0.020134228187919462,0.026845637583892617,0.0,0.0,0.8758389261744967,0.0,0.016778523489932886
sitar,110,1,11,0,0,13,29,0,48,8,0,0.00909090909090909,0.1,0.0,0.0,0.11818181818181818,0.2636363636363636,0.0,0.43636363636363634,0.07272727272727272,0.0
