eastern_genre,num_tracks,count_blues,count_classical,count_country,count_disco,count_hiphop,count_jazz,count_metal,count_pop,count_reggae,count_rock,proportion_blues,proportion_classical,proportion_country,proportion_disco,proportion_hiphop,proportion_jazz,proportion_metal,proportion_pop,proportion_reggae,proportion_rock
carnatic,458,87,34,59,0,150,71,0,43,1,13,0.18995633187772926,0.07423580786026202,0.12882096069868995,0.0,0.32751091703056767,0.15502183406113537,0.0,0.09388646288209607,0.002183406113537118,0.028384279475982533
cpop,100,0,1,12,0,0,0,0,83,0,4,0.0,0.01,0.12,0.0,0.0,0.0,0.0,0.83,0.0,0.04
enka,117,0,18,20,1,2,16,0,56,2,2,0.0,0.15384615384615385,0.17094017094017094,0.008547008547008548,0.017094017094017096,0.13675213675213677,0.0,0.47863247863247865,0.017094017094017096,0.017094017094017096
guqinguzheng,434,5,259,53,0,1,9,0,69,4,34,0.01152073732718894,0.5967741935483871,0.12211981566820276,0.0,0.002304147465437788,0.020737327188940093,0.0,0.15898617511520738,0.009216589861751152,0.07834101382488479
jingju,390,2,321,5,0,20,3,0,32,2,5,0.005128205128205128,0.823076923076923,0.01282051282051282,0.0,0.05128205128205128,0.007692307692307693,0.0,0.08205128205128205,0.005128205128205128,0.01282051282051282
jpop,204,0,3,10,27,4,0,3,127,4,26,0.0,0.014705882352941176,0.049019607843137254,0.1323529411764706,0.0196078431372549,0.0,0.014705882352941176,0.6225490196078431,0.0196078431372549,0.12745098039215685
kpop,298,0,15,3,6,7,0,0,258,1,8,0.0,0.050335570469798654,0.010067114093959731,0.020134228187919462,0.02348993288590604,0.0,0.0,0.8657718120805369,0.003355704697986577,0.026845637583892617
sitar,110,2,25,2,0,8,22,0,43,8,0,0.01818181818181818,0.22727272727272727,0.01818181818181818,0.0,0.07272727272727272,0.2,0.0,0.39090909090909093,0.07272727272727272,0.0
